location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
10837,"Beograd Stari grad","co",477.22,"µg/m³","2020-11-04T16:00:00Z","2020-11-04T17:00:00+01:00","Europe/Belgrade",44.82112,20.459113,,,,"Unknown Governmental Organization","Serbian National Network of Automatic Stations for Air Quality Monitoring"
10837,"Beograd Stari grad","co",438.99,"µg/m³","2020-11-04T17:00:00Z","2020-11-04T18:00:00+01:00","Europe/Belgrade",44.82112,20.459113,,,,"Unknown Governmental Organization","Serbian National Network of Automatic Stations for Air Quality Monitoring"
10837,"Beograd Stari grad","co",434.92,"µg/m³","2020-11-04T18:00:00Z","2020-11-04T19:00:00+01:00","Europe/Belgrade",44.82112,20.459113,,,,"Unknown Governmental Organization","Serbian National Network of Automatic Stations for Air Quality Monitoring"
10837,"Beograd Stari grad","co",534.57,"µg/m³","2020-11-04T19:00:00Z","2020-11-04T20:00:00+01:00","Europe/Belgrade",44.82112,20.459113,,,,"Unknown Governmental Organization","Serbian National Network of Automatic Stations for Air Quality Monitoring"
10837,"Beograd Stari grad","co",511.62,"µg/m³","2020-11-04T20:00:00Z","2020-11-04T21:00:00+01:00","Europe/Belgrade",44.82112,20.459113,,,,"Unknown Governmental Organization","Serbian National Network of Automatic Stations for Air Quality Monitoring"
10837,"Beograd Stari grad","co",494.56,"µg/m³","2020-11-04T21:00:00Z","2020-11-04T22:00:00+01:00","Europe/Belgrade",44.82112,20.459113,,,,"Unknown Governmental Organization","Serbian National Network of Automatic Stations for Air Quality Monitoring"
10837,"Beograd Stari grad","co",390.16,"µg/m³","2020-11-04T22:00:00Z","2020-11-04T23:00:00+01:00","Europe/Belgrade",44.82112,20.459113,,,,"Unknown Governmental Organization","Serbian National Network of Automatic Stations for Air Quality Monitoring"
10837,"Beograd Stari grad","co",381.45,"µg/m³","2020-11-04T23:00:00Z","2020-11-05T00:00:00+01:00","Europe/Belgrade",44.82112,20.459113,,,,"Unknown Governmental Organization","Serbian National Network of Automatic Stations for Air Quality Monitoring"
10837,"Beograd Stari grad","co",344.38,"µg/m³","2020-11-05T00:00:00Z","2020-11-05T01:00:00+01:00","Europe/Belgrade",44.82112,20.459113,,,,"Unknown Governmental Organization","Serbian National Network of Automatic Stations for Air Quality Monitoring"
10837,"Beograd Stari grad","co",322.66,"µg/m³","2020-11-05T01:00:00Z","2020-11-05T02:00:00+01:00","Europe/Belgrade",44.82112,20.459113,,,,"Unknown Governmental Organization","Serbian National Network of Automatic Stations for Air Quality Monitoring"
10837,"Beograd Stari grad","co",411.03,"µg/m³","2020-11-05T02:00:00Z","2020-11-05T03:00:00+01:00","Europe/Belgrade",44.82112,20.459113,,,,"Unknown Governmental Organization","Serbian National Network of Automatic Stations for Air Quality Monitoring"
